Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Agricultural land (sq. km),AG.LND.AGRI.K2,Afghanistan,AFG,380400,377530,379100,379100,379100,379100,379100,379100,380100,380100,383560,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Albania,ALB,11210,11440,12013,11873,11742.9,11743,11817,11742.81,11740.81,11740,11655.55,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Algeria,DZA,386760,400210,413981.9,414316.35,414310,414564,413602,413351.408,413588.47,413588.47,413588.47,..
Agricultural land (sq. km),AG.LND.AGRI.K2,American Samoa,ASM,31.7,59.7,47.8,46.5,45.2,43.9,42.6,41.3,40.1,40.1,40.1,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Andorra,AND,230,230,187.6,188.1,188,188.1,188.2,188.2,188.3,188,187.2,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Angola,AGO,454072.2,469613.9,536221.24,541771.86,547322.48,552873.1,558423.8,563974.3,569524.9,569524.9,569524.9,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Antigua and Barbuda,ATG,90,90,90,90,90,90,90,90,90,90,90,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Argentina,ARG,1275650,1285100,1247419,1229374,1200129,1170884,1141639,1112394,1083817.597,1083817.597,1083817.597,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Armenia,ARM,11700,13230,16830,16830,16807,16767,16768,16761,16773,16770,16760,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Aruba,ABW,20,20,20,20,20,20,20,20,20,20,20,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Australia,AUS,4644370,4554690,3870760,3717750,3744230,3481190,3426020,3718370,3588950,3624770,3557750,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Austria,AUT,30239,29402,27352,27164,27142,27184.5,26701.7,26546.2,26528.3,26512.1,26467.6,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Azerbaijan,AZE,44462,47404,47683,47698,47697,47698,47730,47775,47795,47797,47801,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Bahamas, The",BHS,120,130,140,140,140,140,140,140,140,140,140,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bahrain,BHR,80,92,86,86,86,86,86,86,86,86,86,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bangladesh,BGD,103860,94000,91230,92780,93150,94242.4,95022.1,95413.3,96023,98450,99010,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Barbados,BRB,190,180,130,125,120,110,100,100,100,100,100,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belarus,BLR,93910,92520,87960,87112,86239,85742,85327,84940,84530,83870,82810,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belgium,BEL,14430,13896,13320,13365,13313,13280,13508,13270,13540,13564.226,13646.093,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belize,BLZ,1260,1490,1600,1600,1600,1700,1700,1720,1720,1720,1720,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Benin,BEN,22700,31950,37500,39500,39500,39500,39500,39500,39500,39500,39500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bermuda,BMU,3,4,3,3,3,3,3,3,3,3,3,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bhutan,BTN,4540,5780,5196,5196,5256,5256,5190,5130,5130,5130,5130,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bolivia,BOL,354550,371430,376510,377380,377020,376610,376850,374880,377270,377870,377870,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bosnia and Herzegovina,BIH,22000,21300,21560,21610,21570,21760,22090,22280,22110,22160,22160,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Botswana,BWA,260210,259510,258870,258820,260040,258616,258616,258616,258616,258620,258620,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Brazil,BRA,2349000,2283235,2332758,2339966,2347174,2354382,2361590,2368786,2368788.01,2368788.01,2368788.01,..
Agricultural land (sq. km),AG.LND.AGRI.K2,British Virgin Islands,VGB,80,70,70,70,70,70,70,70,70,70,70,..
